,Date,Country,City,Specie,count,min,max,median,variance
2977,28/02/2020,IN,Hyderabad,no2,96,3.0,32.7,12.2,405.29
2978,09/03/2020,IN,Hyderabad,no2,120,0.3,27.1,8.2,403.07
2979,06/04/2020,IN,Hyderabad,no2,95,0.1,31.2,6.1,848.08
2980,11/04/2020,IN,Hyderabad,no2,113,0.2,500.0,7.4,43973.0
2981,08/05/2020,IN,Hyderabad,no2,120,0.8,23.1,7.8,492.57
2982,03/01/2020,IN,Hyderabad,no2,112,1.6,34.3,10.0,341.2
2983,07/02/2020,IN,Hyderabad,no2,120,1.9,497.8,11.1,35233.5
2984,11/03/2020,IN,Hyderabad,no2,120,2.5,26.5,10.4,335.67
2985,26/04/2020,IN,Hyderabad,no2,120,0.7,22.5,4.3,523.17
2986,19/05/2020,IN,Hyderabad,no2,120,2.6,33.4,10.2,641.5
2987,14/01/2020,IN,Hyderabad,no2,72,3.1,44.0,15.6,906.5
2988,21/01/2020,IN,Hyderabad,no2,105,3.5,34.0,12.9,560.02
2989,01/02/2020,IN,Hyderabad,no2,98,1.6,79.3,13.9,2946.03
2990,16/02/2020,IN,Hyderabad,no2,96,2.0,63.2,16.8,1341.93
2991,03/03/2020,IN,Hyderabad,no2,36,2.1,31.0,13.4,596.56
2992,12/04/2020,IN,Hyderabad,no2,119,0.1,500.0,9.3,34882.8
2993,29/05/2020,IN,Hyderabad,no2,108,0.5,23.8,8.1,543.8
2994,04/01/2020,IN,Hyderabad,no2,120,2.9,32.0,10.9,414.37
2995,29/02/2020,IN,Hyderabad,no2,110,1.0,33.3,10.9,509.16
2996,13/03/2020,IN,Hyderabad,no2,120,1.7,21.8,9.5,261.75
2997,20/03/2020,IN,Hyderabad,no2,120,0.2,30.8,9.8,597.92
2998,16/04/2020,IN,Hyderabad,no2,120,0.5,16.9,7.8,203.45
2999,27/04/2020,IN,Hyderabad,no2,119,0.2,24.0,4.8,578.34
3000,03/05/2020,IN,Hyderabad,no2,120,0.2,27.0,7.9,544.56
3001,10/01/2020,IN,Hyderabad,no2,120,4.6,33.8,12.5,362.54
3002,18/01/2020,IN,Hyderabad,no2,91,3.9,33.8,11.3,608.8
3003,26/01/2020,IN,Hyderabad,no2,96,2.6,42.1,19.8,1010.09
3004,10/03/2020,IN,Hyderabad,no2,120,0.4,22.8,8.1,310.37
3005,08/04/2020,IN,Hyderabad,no2,71,0.3,23.1,5.9,405.01
3006,22/04/2020,IN,Hyderabad,no2,120,1.0,22.6,9.1,446.15
3007,25/06/2020,IN,Hyderabad,no2,111,1.5,27.2,9.2,358.71
