City,date,pm25,pm10,o3,co
Pune,01/01/2020,91,99,58,54
Pune,02/01/2020,99,98,56,52
Pune,03/01/2020,99,126,55,60
Pune,04/01/2020,170,109,69,54
Pune,05/01/2020,131,93,71,58
Pune,06/01/2020,91,105,57,58
Pune,07/01/2020,158,105,50,51
Pune,08/01/2020,159,95,51,39
Pune,09/01/2020,93,107,69,44
Pune,10/01/2020,108,118,67,52
Pune,11/01/2020,129,124,53,86
Pune,12/01/2020,142,111,52,104
Pune,13/01/2020,116,105,49,104
Pune,14/01/2020,90,100,43,49
Pune,15/01/2020,67,100,46,29
Pune,16/01/2020,67,47,61,44
Pune,17/01/2020,57,63,98,63
Pune,18/01/2020,73,93,108,71
Pune,19/01/2020,119,84,101,76
Pune,20/01/2020,102,71,103,125
Pune,21/01/2020,86,65,107,69
Pune,22/01/2020,78,64,105,71
Pune,23/01/2020,78,77,105,86
Pune,24/01/2020,92,88,107,94
Pune,25/01/2020,108,93,106,91
Pune,26/01/2020,121,83,104,64
Pune,27/01/2020,101,53,113,55
Pune,28/01/2020,66,44,111,55
Pune,29/01/2020,55,53,122,52
Pune,30/01/2020,66,75,119,77
Pune,31/01/2020,90,82,134,62
Pune,01/02/2020,98,67,132,29
Pune,02/02/2020,77,55,118,44
Pune,03/02/2020,67,57,67,53
Pune,04/02/2020,70,69,57,43
Pune,05/02/2020,84,68,56,30
Pune,06/02/2020,75,56,58,96
Pune,07/02/2020,66,52,58,106
Pune,08/02/2020,64,55,56,64
Pune,09/02/2020,67,49,55,68
Pune,10/02/2020,60,40,54,76
Pune,11/02/2020,50,53,54,88
Pune,12/02/2020,65,60,53,85
Pune,13/02/2020,73,126,54,97
Pune,14/02/2020,167,109,57,79
Pune,15/02/2020,115,106,54,75
Pune,16/02/2020,106,119,53,91
Pune,17/02/2020,144,120,53,85
Pune,18/02/2020,145,109,54,69
Pune,19/02/2020,114,110,54,79
Pune,20/02/2020,117,111,54,80
Pune,21/02/2020,119,119,56,97
Pune,22/02/2020,150,121,51,106
Pune,23/02/2020,162,121,51,106
Pune,24/02/2020,162,121,51,106
Pune,25/02/2020,162,122,51,106
Pune,26/02/2020,163,123,52,107
Pune,27/02/2020,185,140,36,57
Pune,28/02/2020,202,135,33,75
Pune,29/02/2020,189,118,35,56
Pune,01/03/2020,139,113,34,43
Pune,02/03/2020,124,111,34,50
Pune,03/03/2020,121,103,38,57
Pune,04/03/2020,101,113,38,81
Pune,05/03/2020,125,108,36,64
