,Date,Country,City,Specie,count,min,max,median,variance
713837,02/03/2020,IN,Thrissur,pm10,13,56.0,82.0,64.0,767.69
713838,07/03/2020,IN,Thrissur,pm10,24,38.0,86.0,65.0,1265.43
713839,01/05/2020,IN,Thrissur,pm10,72,15.0,62.0,38.0,1083.94
713840,11/06/2020,IN,Thrissur,pm10,72,11.0,55.0,25.0,853.45
713841,26/06/2020,IN,Thrissur,pm10,72,6.0,61.0,18.0,1917.68
713842,10/01/2020,IN,Thrissur,pm10,24,50.0,239.0,97.0,15285.4
713843,23/01/2020,IN,Thrissur,pm10,24,37.0,113.0,77.0,4717.1
713844,20/02/2020,IN,Thrissur,pm10,24,45.0,167.0,71.0,7158.84
713845,23/04/2020,IN,Thrissur,pm10,71,6.0,61.0,31.0,1683.88
713846,03/05/2020,IN,Thrissur,pm10,50,27.0,58.0,36.0,390.46
713847,01/06/2020,IN,Thrissur,pm10,72,6.0,45.0,20.0,762.54
713848,02/06/2020,IN,Thrissur,pm10,72,1.0,54.0,14.0,1375.46
713849,20/01/2020,IN,Thrissur,pm10,24,43.0,177.0,60.0,12396.8
713850,29/02/2020,IN,Thrissur,pm10,23,33.0,71.0,61.0,1385.38
713851,30/03/2020,IN,Thrissur,pm10,52,19.0,70.0,46.0,1403.92
713852,16/04/2020,IN,Thrissur,pm10,72,18.0,65.0,30.0,805.35
713853,02/05/2020,IN,Thrissur,pm10,64,15.0,64.0,36.0,1003.09
713854,29/05/2020,IN,Thrissur,pm10,72,12.0,91.0,38.0,2559.24
713855,16/06/2020,IN,Thrissur,pm10,60,6.0,75.0,27.0,2981.45
713856,24/02/2020,IN,Thrissur,pm10,24,60.0,83.0,67.0,302.59
713857,07/04/2020,IN,Thrissur,pm10,72,7.0,56.0,22.0,1180.14
713858,07/05/2020,IN,Thrissur,pm10,48,13.0,72.0,43.0,2082.3
713859,18/02/2020,IN,Thrissur,pm10,24,44.0,116.0,75.0,4068.68
713860,14/01/2020,IN,Thrissur,pm10,21,53.0,137.0,96.0,7307.62
713861,24/01/2020,IN,Thrissur,pm10,24,47.0,97.0,80.0,1832.39
713862,22/02/2020,IN,Thrissur,pm10,24,53.0,81.0,67.0,746.79
713863,23/03/2020,IN,Thrissur,pm10,24,38.0,94.0,58.0,1808.97
713864,24/03/2020,IN,Thrissur,pm10,24,42.0,67.0,55.0,472.45
713865,29/03/2020,IN,Thrissur,pm10,41,22.0,62.0,41.0,1216.8
713866,10/04/2020,IN,Thrissur,pm10,72,18.0,50.0,31.0,625.51
713867,08/01/2020,IN,Thrissur,pm10,24,34.0,127.0,65.0,5383.75
713868,11/05/2020,IN,Thrissur,pm10,72,6.0,58.0,28.0,1680.97
713869,15/05/2020,IN,Thrissur,pm10,53,6.0,72.0,43.0,2964.21
713870,05/05/2020,IN,Thrissur,pm10,51,24.0,64.0,49.0,720.41
713871,25/01/2020,IN,Thrissur,pm10,24,41.0,106.0,73.0,2644.33
713872,05/04/2020,IN,Thrissur,pm10,72,8.0,55.0,34.0,1649.84
713873,28/05/2020,IN,Thrissur,pm10,72,6.0,72.0,29.0,2435.11
713874,16/01/2020,IN,Thrissur,pm10,24,64.0,999.0,93.0,615058.0
713875,17/03/2020,IN,Thrissur,pm10,24,49.0,92.0,73.0,1679.71
713876,18/03/2020,IN,Thrissur,pm10,24,58.0,80.0,68.0,379.93
713877,24/04/2020,IN,Thrissur,pm10,67,6.0,68.0,36.0,2005.31
713878,29/04/2020,IN,Thrissur,pm10,53,8.0,59.0,31.0,1552.79
713879,26/02/2020,IN,Thrissur,pm10,24,53.0,106.0,75.0,2637.97
713880,29/01/2020,IN,Thrissur,pm10,24,55.0,115.0,80.0,2364.62
713881,03/03/2020,IN,Thrissur,pm10,8,52.0,74.0,65.0,546.96
713882,06/05/2020,IN,Thrissur,pm10,50,2.0,73.0,49.0,1808.98
713883,09/06/2020,IN,Thrissur,pm10,72,18.0,65.0,49.0,1224.15
713884,17/01/2020,IN,Thrissur,pm10,24,59.0,143.0,83.0,5752.97
713885,18/01/2020,IN,Thrissur,pm10,24,47.0,155.0,99.0,10119.5
