date,pm25,pm10,o3,no2,so2,co,city
03/01/2020,98,44,38,17,4,7,coimbatore
04/01/2020,102,27,26,30,3,5,coimbatore
05/01/2020,66,24,11,16,2,12,coimbatore
06/01/2020,62,20,9,19,2,8,coimbatore
07/01/2020,53,14,3,17,2,4,coimbatore
13/01/2020,143,51,31,30,4,2,coimbatore
14/01/2020,144,41,35,27,4,1,coimbatore
15/01/2020,124,31,31,28,4,1,coimbatore
16/01/2020,93,33,28,31,3,1,coimbatore
17/01/2020,94,33,18,25,4,1,coimbatore
18/01/2020,88,22,20,26,3,1,coimbatore
19/01/2020,71,31,27,20,5,1,coimbatore
20/01/2020,78,39,34,7,4,1,coimbatore
21/01/2020,92,42,28,7,5,2,coimbatore
22/01/2020,101,45,12,8,5,2,coimbatore
23/01/2020,117,48,19,12,4,4,coimbatore
24/01/2020,135,45,37,13,6,4,coimbatore
25/01/2020,82,43,39,16,5,3,coimbatore
26/01/2020,0,52,37,21,5,4,coimbatore
27/01/2020,102,73,39,23,3,2,coimbatore
28/01/2020,146,51,32,18,3,1,coimbatore
29/01/2020,124,53,28,14,4,2,coimbatore
30/01/2020,126,50,28,10,4,3,coimbatore
31/01/2020,122,41,28,7,4,3,coimbatore
01/02/2020,99,38,13,27,3,2,coimbatore
02/02/2020,95,44,30,24,5,3,coimbatore
03/02/2020,107,51,21,17,4,8,coimbatore
04/02/2020,93,24,26,30,3,4,coimbatore
05/02/2020,77,23,13,18,2,13,coimbatore
06/02/2020,50,22,6,16,2,8,coimbatore
07/02/2020,41,14,4,17,2,5,coimbatore
13/02/2020,126,50,38,19,7,7,coimbatore
14/02/2020,122,50,28,15,5,6,coimbatore
15/02/2020,129,0,0,0,0,0,coimbatore
16/02/2020,0,51,40,14,6,7,coimbatore
17/02/2020,113,46,44,12,7,6,coimbatore
18/02/2020,109,52,39,13,7,6,coimbatore
19/02/2020,129,45,22,7,5,4,coimbatore
20/02/2020,122,27,26,10,6,9,coimbatore
21/02/2020,83,37,25,13,6,8,coimbatore
22/02/2020,98,40,34,13,4,8,coimbatore
23/02/2020,118,52,34,14,5,8,coimbatore
24/02/2020,125,60,35,17,4,9,coimbatore
25/02/2020,117,48,31,12,4,8,coimbatore
26/02/2020,111,46,36,14,5,7,coimbatore
27/02/2020,110,43,33,10,4,7,coimbatore
28/02/2020,101,45,31,14,4,8,coimbatore
29/02/2020,117,38,31,15,3,7,coimbatore
01/03/2020,91,40,20,24,2,3,coimbatore
02/03/2020,106,44,28,29,5,4,coimbatore
03/03/2020,130,49,33,18,4,6,coimbatore
04/03/2020,87,21,25,30,2,4,coimbatore
05/03/2020,79,29,13,19,2,13,coimbatore
06/03/2020,50,15,5,16,2,8,coimbatore
07/03/2020,39,27,4,16,3,5,coimbatore
13/03/2020,99,47,29,25,4,5,coimbatore
