Date,Country,City,Specie,count,min,max,median,variance
30-12-2019,IN,Bengaluru,co,232,1.6,28.6,8.6,228.74
31-12-2019,IN,Bengaluru,co,217,0.4,29.7,8.9,287.5
01-01-2020,IN,Bengaluru,co,180,1.2,40.2,9.8,246.08
02-01-2020,IN,Bengaluru,co,192,0.2,60.3,9.3,570.86
03-01-2020,IN,Bengaluru,co,237,0.7,86.4,8,523.38
04-01-2020,IN,Bengaluru,co,232,0.7,68.3,8.9,1342.1
05-01-2020,IN,Bengaluru,co,221,1.3,24.7,8.3,196.34
06-01-2020,IN,Bengaluru,co,223,0.3,30.2,8.9,265.67
07-01-2020,IN,Bengaluru,co,253,0.2,32.1,8.4,239.87
08-01-2020,IN,Bengaluru,co,244,0.7,67,8.4,340.89
09-01-2020,IN,Bengaluru,co,252,1.7,47.2,8.4,387.85
10-01-2020,IN,Bengaluru,co,250,0.1,46,8.4,257.82
11-01-2020,IN,Bengaluru,co,246,1.5,24.3,7.8,117.72
12-01-2020,IN,Bengaluru,co,230,1,67.3,8,321.27
13-01-2020,IN,Bengaluru,co,226,1.3,45.1,8.2,550.55
14-01-2020,IN,Bengaluru,co,236,0.2,42.8,8,393.73
15-01-2020,IN,Bengaluru,co,238,0.8,27.6,7.8,167.27
16-01-2020,IN,Bengaluru,co,238,0.6,46.7,8.2,493.45
17-01-2020,IN,Bengaluru,co,248,1.5,86.4,8.4,959.31
18-01-2020,IN,Bengaluru,co,245,1.5,23.1,8,146.19
19-01-2020,IN,Bengaluru,co,238,2.5,25.6,7.7,163.42
20-01-2020,IN,Bengaluru,co,239,1.4,43.5,8.1,301.48
21-01-2020,IN,Bengaluru,co,232,1,46.6,8.2,305.77
22-01-2020,IN,Bengaluru,co,225,1.7,46.8,9.2,320.27
23-01-2020,IN,Bengaluru,co,224,2.4,59.3,8.3,414.29
24-01-2020,IN,Bengaluru,co,235,1.4,86.4,8.8,786.84
25-01-2020,IN,Bengaluru,co,235,0.6,66.6,9,501.7
26-01-2020,IN,Bengaluru,co,207,2.1,36.2,9.1,284.11
27-01-2020,IN,Bengaluru,co,212,0.1,46.5,8.7,469.62
28-01-2020,IN,Bengaluru,co,227,1.4,67.4,7.5,651.33
29-01-2020,IN,Bengaluru,co,244,0.1,66.3,8.1,528.36
30-01-2020,IN,Bengaluru,co,242,1.5,66.3,8.7,722.91
31-01-2020,IN,Bengaluru,co,256,0.7,45.4,7.9,358.62
01-02-2020,IN,Bengaluru,co,259,1.4,46.1,8,326.07
02-02-2020,IN,Bengaluru,co,233,0.6,24.3,7.1,133.87
03-02-2020,IN,Bengaluru,co,247,1.9,31.5,7.9,241.77
04-02-2020,IN,Bengaluru,co,263,1.4,33.7,7.7,251.43
05-02-2020,IN,Bengaluru,co,257,1,45.8,8.3,565.76
06-02-2020,IN,Bengaluru,co,237,1.3,28.9,8.5,266.62
07-02-2020,IN,Bengaluru,co,233,1.6,36.5,8.1,233.99
08-02-2020,IN,Bengaluru,co,225,0.3,30.4,8.1,269.02
09-02-2020,IN,Bengaluru,co,224,0.9,42.4,8,463.37
10-02-2020,IN,Bengaluru,co,213,0.7,25,8.6,211.55
11-02-2020,IN,Bengaluru,co,188,1.3,30.1,8.4,173.72
12-02-2020,IN,Bengaluru,co,202,0.6,32.1,7.8,224.07
13-02-2020,IN,Bengaluru,co,215,0.3,57.2,8.5,421.5
14-02-2020,IN,Bengaluru,co,197,1.5,47.4,9.9,631.52
15-02-2020,IN,Bengaluru,co,183,1.2,64.6,9.7,741.87
16-02-2020,IN,Bengaluru,co,199,1.6,45.9,8.4,260.21
17-02-2020,IN,Bengaluru,co,205,1.7,67.4,8.3,594
18-02-2020,IN,Bengaluru,co,182,1.8,29.5,8.5,198.96
19-02-2020,IN,Bengaluru,co,205,0.2,39.5,8.8,221.84
20-02-2020,IN,Bengaluru,co,199,1.6,25.7,8.4,127.11
21-02-2020,IN,Bengaluru,co,210,1.8,46.2,7.9,297.35
22-02-2020,IN,Bengaluru,co,230,1.2,22.6,8.3,107.53
23-02-2020,IN,Bengaluru,co,223,1.2,51.3,8.6,341.21
24-02-2020,IN,Bengaluru,co,232,2.3,31.1,8.4,169.22
25-02-2020,IN,Bengaluru,co,224,2,67.6,9,684.65
26-02-2020,IN,Bengaluru,co,225,0.8,25.5,8.3,144
27-02-2020,IN,Bengaluru,co,234,0.9,59.5,9.1,373.4
28-02-2020,IN,Bengaluru,co,232,1.5,25.5,8.8,167.56
29-02-2020,IN,Bengaluru,co,232,0.1,49.7,8.4,358.34
01-03-2020,IN,Bengaluru,co,206,0.5,46.2,7.5,227.15
02-03-2020,IN,Bengaluru,co,200,2.9,46.6,9,443.49
03-03-2020,IN,Bengaluru,co,65,1.3,60.9,10.8,1850.47
04-03-2020,IN,Bengaluru,co,221,1,66.3,9.1,656.91
05-03-2020,IN,Bengaluru,co,248,1,67.1,7.6,324.41
06-03-2020,IN,Bengaluru,co,230,1.3,52.7,7.2,301.1
07-03-2020,IN,Bengaluru,co,249,1,24.8,7.6,210.92
08-03-2020,IN,Bengaluru,co,244,0.6,59.5,7.3,258.37
09-03-2020,IN,Bengaluru,co,247,1.6,46.4,7.3,264.33
10-03-2020,IN,Bengaluru,co,253,0.8,24.4,7.3,175.08
11-03-2020,IN,Bengaluru,co,252,1,24,7.3,190.57
12-03-2020,IN,Bengaluru,co,252,0.9,45.2,8.2,287.47
13-03-2020,IN,Bengaluru,co,241,0.3,32.4,7,183.32
14-03-2020,IN,Bengaluru,co,238,1,27.5,7.7,173.95
15-03-2020,IN,Bengaluru,co,242,0.8,21.4,7.2,180.4
