,Unnamed: 0,Date,Country,City,Specie,count,min,max,median,variance
2958,202402,2021-06-10,IN,Hyderabad,no2,90,0.1,13.2,6.9,152.89
2959,202403,2021-01-17,IN,Hyderabad,no2,120,3.3,43.2,14.5,1439.53
2960,202404,2021-01-31,IN,Hyderabad,no2,96,4.4,25.3,11.9,198.03
2961,202405,2021-03-10,IN,Hyderabad,no2,120,3.1,41.8,15.5,1050.6
2962,202406,2021-04-04,IN,Hyderabad,no2,118,1.7,55.0,15.4,1426.17
2963,202407,2021-05-04,IN,Hyderabad,no2,111,1.2,43.9,14.7,892.12
2964,202408,2021-05-22,IN,Hyderabad,no2,109,0.2,15.1,7.8,193.95
2965,202409,2021-05-07,IN,Hyderabad,no2,120,0.2,22.5,8.3,373.58
2966,202410,2021-01-16,IN,Hyderabad,no2,120,3.2,45.3,14.6,1522.52
2967,202411,2021-02-05,IN,Hyderabad,no2,120,4.1,57.6,20.6,1727.85
2968,202412,2021-02-21,IN,Hyderabad,no2,96,2.2,30.8,10.8,290.3
2969,202413,2021-03-02,IN,Hyderabad,no2,120,1.8,67.2,13.4,1649.73
2970,202414,2021-03-28,IN,Hyderabad,no2,115,1.4,50.4,15.6,1461.6
2971,202415,2021-03-29,IN,Hyderabad,no2,120,1.5,40.8,12.9,1223.31
2972,202416,2021-01-13,IN,Hyderabad,no2,115,3.4,51.9,20.7,1699.94
2973,202417,2021-01-30,IN,Hyderabad,no2,96,3.7,32.8,12.9,439.85
2974,202418,2021-03-31,IN,Hyderabad,no2,120,2.0,56.5,18.5,1804.01
2975,202419,2021-05-13,IN,Hyderabad,no2,113,0.1,19.3,7.7,251.52
2976,202420,2021-01-18,IN,Hyderabad,no2,120,3.1,44.5,11.5,1458.01
2977,202421,2021-02-15,IN,Hyderabad,no2,103,3.0,53.7,14.9,1542.23
2978,202422,2021-03-08,IN,Hyderabad,no2,101,2.1,45.6,16.0,1365.91
2979,202423,2021-03-11,IN,Hyderabad,no2,98,1.2,36.2,14.9,769.55
2980,202424,2021-05-15,IN,Hyderabad,no2,110,0.1,16.4,5.4,209.29
2981,202425,2021-03-26,IN,Hyderabad,no2,120,2.8,51.6,18.5,1544.64
2982,202426,2021-05-09,IN,Hyderabad,no2,117,0.1,24.0,7.9,377.03
2983,202427,2020-12-28,IN,Hyderabad,no2,110,5.4,50.9,23.0,1858.14
2984,202428,2021-01-05,IN,Hyderabad,no2,120,3.3,45.7,12.8,1481.62
2985,202429,2021-01-08,IN,Hyderabad,no2,98,4.6,42.7,12.5,443.92
2986,202430,2021-02-04,IN,Hyderabad,no2,120,3.9,55.4,24.2,1647.37
2987,202431,2021-03-15,IN,Hyderabad,no2,100,2.3,44.2,17.3,1237.11
2988,202432,2021-03-19,IN,Hyderabad,no2,120,2.3,43.9,14.0,1254.99
2989,202433,2021-05-19,IN,Hyderabad,no2,111,0.1,17.7,6.7,244.46
2990,202434,2021-05-23,IN,Hyderabad,no2,80,0.2,15.5,4.9,153.32
2991,202435,2021-05-27,IN,Hyderabad,no2,96,0.1,12.7,6.5,133.4
2992,202436,2021-05-30,IN,Hyderabad,no2,91,0.5,14.7,9.5,217.01
2993,202437,2021-03-24,IN,Hyderabad,no2,120,3.1,51.8,14.4,1404.19
2994,202438,2021-04-18,IN,Hyderabad,no2,120,1.2,44.4,17.4,964.64
2995,202439,2021-01-12,IN,Hyderabad,no2,97,2.0,90.3,26.1,2500.59
2996,202440,2021-01-20,IN,Hyderabad,no2,96,3.7,54.8,15.1,1360.26
2997,202441,2021-01-26,IN,Hyderabad,no2,96,1.4,25.6,10.8,259.92
2998,202442,2021-02-13,IN,Hyderabad,no2,96,4.2,41.5,16.8,868.21
2999,202443,2021-02-19,IN,Hyderabad,no2,96,3.3,36.0,10.7,428.86
3000,202444,2021-03-03,IN,Hyderabad,no2,120,1.9,84.0,13.8,1942.46
3001,202445,2021-04-19,IN,Hyderabad,no2,120,1.9,60.7,14.7,1190.79
