,Date_x,City,Specie,median_x,md,month_name_x,Unnamed: 0_x,Date_y,median_y,month_name_y,Unnamed: 0_y,Date,Country,count,min,max,median,variance,month_name
0,2018-12-31,Bengaluru,co,6.7,1231,December,203067,2019-12-31,8.9,December,237526,2020-12-31,IN,227,0.2,86.3,5.6,5298.52,December
1,2018-12-31,Bengaluru,co,6.7,1231,December,130869,2020-12-31,5.6,December,237526,2020-12-31,IN,227,0.2,86.3,5.6,5298.52,December
2,2019-12-31,Bengaluru,co,8.9,1231,December,203067,2019-12-31,8.9,December,237526,2020-12-31,IN,227,0.2,86.3,5.6,5298.52,December
3,2019-12-31,Bengaluru,co,8.9,1231,December,130869,2020-12-31,5.6,December,237526,2020-12-31,IN,227,0.2,86.3,5.6,5298.52,December
4,2019-01-01,Bengaluru,co,7.7,0101,January,203068,2020-01-01,9.8,January,237499,2021-01-01,IN,239,0.5,86.3,5.4,4854.18,January
5,2019-01-01,Bengaluru,co,7.7,0101,January,130904,2021-01-01,5.4,January,237499,2021-01-01,IN,239,0.5,86.3,5.4,4854.18,January
6,2020-01-01,Bengaluru,co,9.8,0101,January,203068,2020-01-01,9.8,January,237499,2021-01-01,IN,239,0.5,86.3,5.4,4854.18,January
7,2020-01-01,Bengaluru,co,9.8,0101,January,130904,2021-01-01,5.4,January,237499,2021-01-01,IN,239,0.5,86.3,5.4,4854.18,January
8,2019-01-02,Bengaluru,co,7.0,0102,January,203078,2020-01-02,9.3,January,237439,2021-01-02,IN,230,0.3,86.3,5.5,3102.37,January
9,2019-01-02,Bengaluru,co,7.0,0102,January,130848,2021-01-02,5.5,January,237439,2021-01-02,IN,230,0.3,86.3,5.5,3102.37,January
10,2020-01-02,Bengaluru,co,9.3,0102,January,203078,2020-01-02,9.3,January,237439,2021-01-02,IN,230,0.3,86.3,5.5,3102.37,January
11,2020-01-02,Bengaluru,co,9.3,0102,January,130848,2021-01-02,5.5,January,237439,2021-01-02,IN,230,0.3,86.3,5.5,3102.37,January
12,2019-01-03,Bengaluru,co,6.7,0103,January,203043,2020-01-03,8.0,January,237535,2021-01-03,IN,212,0.5,11.5,4.0,49.29,January
13,2019-01-03,Bengaluru,co,6.7,0103,January,130863,2021-01-03,4.0,January,237535,2021-01-03,IN,212,0.5,11.5,4.0,49.29,January
14,2020-01-03,Bengaluru,co,8.0,0103,January,203043,2020-01-03,8.0,January,237535,2021-01-03,IN,212,0.5,11.5,4.0,49.29,January
15,2020-01-03,Bengaluru,co,8.0,0103,January,130863,2021-01-03,4.0,January,237535,2021-01-03,IN,212,0.5,11.5,4.0,49.29,January
16,2019-01-04,Bengaluru,co,7.8,0104,January,202989,2020-01-04,8.9,January,237500,2021-01-04,IN,233,0.3,33.8,4.9,139.71,January
17,2020-01-04,Bengaluru,co,8.9,0104,January,202989,2020-01-04,8.9,January,237500,2021-01-04,IN,233,0.3,33.8,4.9,139.71,January
18,2019-01-05,Bengaluru,co,7.8,0105,January,203079,2020-01-05,8.3,January,237440,2021-01-05,IN,239,0.8,37.0,4.4,217.21,January
19,2020-01-05,Bengaluru,co,8.3,0105,January,203079,2020-01-05,8.3,January,237440,2021-01-05,IN,239,0.8,37.0,4.4,217.21,January
20,2019-01-06,Bengaluru,co,6.5,0106,January,203032,2020-01-06,8.9,January,237466,2021-01-06,IN,219,0.5,52.8,4.5,189.83,January
21,2019-01-07,Bengaluru,co,6.6,0107,January,203033,2020-01-07,8.4,January,237485,2021-01-07,IN,221,0.6,58.4,5.5,250.27,January
22,2019-01-08,Bengaluru,co,7.7,0108,January,203018,2020-01-08,8.4,January,237448,2021-01-08,IN,231,0.5,52.0,4.5,198.33,January
23,2019-01-09,Bengaluru,co,7.6,0109,January,202990,2020-01-09,8.4,January,237491,2021-01-09,IN,217,0.5,20.7,4.7,122.45,January
24,2019-01-10,Bengaluru,co,6.8,0110,January,203015,2020-01-10,8.4,January,237486,2021-01-10,IN,227,0.3,12.2,4.4,61.64,January
25,2019-01-11,Bengaluru,co,6.9,0111,January,202991,2020-01-11,7.8,January,237514,2021-01-11,IN,232,0.6,31.5,4.7,159.24,January
26,2019-01-12,Bengaluru,co,7.2,0112,January,203055,2020-01-12,8.0,January,237402,2021-01-12,IN,227,0.5,23.5,4.7,104.99,January
27,2019-01-13,Bengaluru,co,6.1,0113,January,202992,2020-01-13,8.2,January,237536,2021-01-13,IN,235,0.6,18.1,4.4,83.82,January
28,2019-01-14,Bengaluru,co,7.0,0114,January,203069,2020-01-14,8.0,January,237431,2021-01-14,IN,212,0.6,21.5,5.5,81.25,January
29,2019-01-15,Bengaluru,co,6.3,0115,January,203080,2020-01-15,7.8,January,237515,2021-01-15,IN,240,0.3,16.1,3.8,78.64,January
30,2019-01-16,Bengaluru,co,6.7,0116,January,202993,2020-01-16,8.2,January,237394,2021-01-16,IN,244,0.5,21.8,4.3,83.28,January
31,2019-01-17,Bengaluru,co,7.0,0117,January,203049,2020-01-17,8.4,January,237443,2021-01-17,IN,195,0.3,45.2,3.7,160.55,January
32,2019-01-18,Bengaluru,co,7.3,0118,January,203044,2020-01-18,8.0,January,237537,2021-01-18,IN,223,0.6,11.6,4.7,56.64,January
33,2019-01-19,Bengaluru,co,6.6,0119,January,203081,2020-01-19,7.7,January,237467,2021-01-19,IN,199,0.2,27.9,4.9,109.82,January
34,2019-01-20,Bengaluru,co,6.0,0120,January,203060,2020-01-20,8.1,January,237516,2021-01-20,IN,225,0.3,12.9,5.1,77.26,January
35,2019-01-21,Bengaluru,co,6.4,0121,January,203027,2020-01-21,8.2,January,237501,2021-01-21,IN,233,0.7,12.7,5.4,80.53,January
36,2019-01-22,Bengaluru,co,6.7,0122,January,202997,2020-01-22,9.2,January,237517,2021-01-22,IN,221,0.7,20.9,4.8,100.45,January
37,2019-01-23,Bengaluru,co,7.1,0123,January,203002,2020-01-23,8.3,January,237434,2021-01-23,IN,191,0.4,16.0,5.2,74.48,January
