Date,Country,City,Specie,count,min,max,median,variance
01/01/2017,IN,Bengaluru,co,88,1,14.3,9.2,79.26
02/01/2017,IN,Bengaluru,co,107,0.4,34,9.1,185.43
03/01/2017,IN,Bengaluru,co,113,0.8,15.9,9.1,87.77
04/01/2017,IN,Bengaluru,co,132,0.4,23.2,8.9,105.87
05/01/2017,IN,Bengaluru,co,137,0.2,16.7,8.9,90.81
06/01/2017,IN,Bengaluru,co,135,0.2,34,8.9,230.54
07/01/2017,IN,Bengaluru,co,125,0.8,63.6,9.1,419.54
08/01/2017,IN,Bengaluru,co,131,0.2,16.1,8.9,103.89
09/01/2017,IN,Bengaluru,co,128,0.6,55.8,9,400.07
10/01/2017,IN,Bengaluru,co,128,0.6,34.7,7.6,249.25
11/01/2017,IN,Bengaluru,co,131,0.2,61.6,4.9,742.3
12/01/2017,IN,Bengaluru,co,109,0.4,19.6,3.7,244.42
13/01/2017,IN,Bengaluru,co,103,0.4,13.4,3.7,139.85
14/01/2017,IN,Bengaluru,co,110,1.1,14.7,3.7,115.42
15/01/2017,IN,Bengaluru,co,83,0.4,17.4,4,152.29
16/01/2017,IN,Bengaluru,co,125,0.2,22.5,4,204.18
17/01/2017,IN,Bengaluru,co,77,0.4,53.2,4.6,876.89
18/01/2017,IN,Bengaluru,co,62,0.6,15.9,4.4,85.56
19/01/2017,IN,Bengaluru,co,70,2.6,21,4.7,264.43
20/01/2017,IN,Bengaluru,co,89,0.2,11.8,4.4,64.1
21/01/2017,IN,Bengaluru,co,53,0.4,12.9,4.4,70.5
22/01/2017,IN,Bengaluru,co,68,0.8,10.9,4.4,75.36
23/01/2017,IN,Bengaluru,co,68,2,12.9,4.7,82.36
24/01/2017,IN,Bengaluru,co,104,0.2,17.8,4.3,127.14
25/01/2017,IN,Bengaluru,co,123,0.2,39.1,4.2,494.1
26/01/2017,IN,Bengaluru,co,140,0.2,86.4,4.2,1167.26
27/01/2017,IN,Bengaluru,co,136,0.2,21,4,179.24
28/01/2017,IN,Bengaluru,co,111,0.2,29.7,3.8,300.83
29/01/2017,IN,Bengaluru,co,120,0.2,41.2,3.8,675.11
30/01/2017,IN,Bengaluru,co,112,0.2,50.6,4,633.47
31/01/2017,IN,Bengaluru,co,103,0.2,26.1,4.3,268.75
01/02/2017,IN,Bengaluru,co,124,0.2,69.4,3.7,1848.75
02/02/2017,IN,Bengaluru,co,117,0.2,22.5,4.2,190.94
03/02/2017,IN,Bengaluru,co,133,0.2,13.8,3.8,118.96
04/02/2017,IN,Bengaluru,co,115,0.2,9.1,3.3,46.22
05/02/2017,IN,Bengaluru,co,102,0.2,33.3,1.7,237.83
06/02/2017,IN,Bengaluru,co,106,0.2,23.2,3.8,361.01
07/02/2017,IN,Bengaluru,co,138,0.2,27.5,5.3,333.9
08/02/2017,IN,Bengaluru,co,128,0.2,40.5,5.8,365.73
09/02/2017,IN,Bengaluru,co,110,0.8,20.3,5.8,117.26
10/02/2017,IN,Bengaluru,co,116,1.1,24.6,5.7,146.28
11/02/2017,IN,Bengaluru,co,129,0.4,22.1,5.6,157.01
12/02/2017,IN,Bengaluru,co,115,0.2,14.2,5.7,139.51
13/02/2017,IN,Bengaluru,co,81,1.9,13.6,4.4,76.88
14/02/2017,IN,Bengaluru,co,86,1,49.9,5.2,373.09
15/02/2017,IN,Bengaluru,co,83,2,24.6,5.3,420.27
16/02/2017,IN,Bengaluru,co,84,0.4,23.2,4.7,488.46
17/02/2017,IN,Bengaluru,co,94,0.6,53.8,5.1,749.35
18/02/2017,IN,Bengaluru,co,92,0.8,28.2,5.1,490.92
19/02/2017,IN,Bengaluru,co,96,2.4,26.8,5.3,529.87
20/02/2017,IN,Bengaluru,co,88,1.5,39.8,5.9,484.19
21/02/2017,IN,Bengaluru,co,78,0.2,53.2,5.8,734.47
