city,date,pm25,pm10,o3,no2,so2,co
patiala,30-11-2018,,81,5,10,7,6
patiala,01-12-2018,142,85,7,10,7,8
patiala,02-12-2018,145,92,3,13,16,12
patiala,03-12-2018,156,103,6,13,7,11
patiala,04-12-2018,165,96,5,13,7,10
patiala,05-12-2018,160,105,,12,6,13
patiala,06-12-2018,168,109,,16,58,12
patiala,07-12-2018,165,105,1,14,5,14
patiala,08-12-2018,164,101,5,15,4,10
patiala,09-12-2018,165,109,1,16,3,16
patiala,10-12-2018,169,87,5,15,3,10
patiala,11-12-2018,110,73,3,14,3,7
patiala,12-12-2018,81,,,,,
patiala,15-12-2018,,67,1,18,2,8
patiala,16-12-2018,69,71,1,18,2,8
patiala,17-12-2018,64,86,8,15,4,7
patiala,18-12-2018,112,101,10,14,4,8
patiala,19-12-2018,113,109,9,13,4,9
patiala,20-12-2018,162,135,6,15,4,10
patiala,21-12-2018,170,110,9,14,4,6
patiala,22-12-2018,160,121,5,13,3,12
patiala,23-12-2018,167,123,9,15,4,12
patiala,24-12-2018,169,111,6,13,4,8
patiala,25-12-2018,164,111,10,6,4,8
patiala,26-12-2018,166,110,8,3,4,9
patiala,27-12-2018,151,98,7,3,5,9
patiala,28-12-2018,155,112,6,3,4,8
patiala,29-12-2018,158,104,8,3,5,8
patiala,30-12-2018,112,115,10,3,7,12
patiala,31-12-2018,96,,,,,
patiala,01-01-2019,,150,4,3,4,14
patiala,02-01-2019,121,147,8,3,5,15
patiala,03-01-2019,125,119,3,3,3,10
patiala,04-01-2019,111,69,4,3,6,9
patiala,05-01-2019,89,53,5,3,4,9
patiala,06-01-2019,93,39,5,3,3,5
patiala,07-01-2019,60,89,4,3,5,5
patiala,08-01-2019,71,57,6,3,4,6
patiala,09-01-2019,63,48,7,3,6,7
patiala,10-01-2019,70,102,7,3,5,9
patiala,11-01-2019,77,146,5,3,5,13
patiala,12-01-2019,117,127,5,15,5,9
patiala,13-01-2019,117,69,2,8,2,5
patiala,14-01-2019,74,42,2,8,2,4
patiala,15-01-2019,62,45,6,7,3,6
patiala,16-01-2019,72,44,8,6,4,11
patiala,17-01-2019,101,50,9,9,4,9
patiala,18-01-2019,131,76,7,9,3,7
patiala,19-01-2019,135,62,6,11,1,9
patiala,20-01-2019,91,71,3,17,2,12
patiala,21-01-2019,104,72,12,18,3,8
patiala,22-01-2019,111,50,11,17,,3
patiala,23-01-2019,25,52,11,15,1,5
