Date,Country,City,Specie,count,min,max,median,variance
03/01/2016,IN,Bengaluru,co,102,0.4,37.6,5.1,604.8
04/01/2016,IN,Bengaluru,co,144,0.2,31.1,5.8,397.67
05/01/2016,IN,Bengaluru,co,142,0.2,38.4,5.3,379.56
06/01/2016,IN,Bengaluru,co,119,0.2,24.3,7.5,435.27
07/01/2016,IN,Bengaluru,co,87,0.8,29,8,674.6
08/01/2016,IN,Bengaluru,co,98,1.1,37.6,6.4,363.72
09/01/2016,IN,Bengaluru,co,114,0.1,32.6,7.5,250.09
10/01/2016,IN,Bengaluru,co,74,0.4,13.8,5.8,101.13
11/01/2016,IN,Bengaluru,co,109,1.3,15.8,6.6,83.7
12/01/2016,IN,Bengaluru,co,96,2,18.8,6.6,90.28
13/01/2016,IN,Bengaluru,co,107,2.2,28.3,5.8,151.92
14/01/2016,IN,Bengaluru,co,119,1.3,21.7,6.2,97.15
15/01/2016,IN,Bengaluru,co,96,1.6,15.8,5.1,73
16/01/2016,IN,Bengaluru,co,111,0.8,45.6,5.5,501.69
17/01/2016,IN,Bengaluru,co,120,0.4,28.2,6.4,114.94
18/01/2016,IN,Bengaluru,co,132,1.9,18.4,6.8,125.87
19/01/2016,IN,Bengaluru,co,144,1.3,20.8,5.9,188.88
20/01/2016,IN,Bengaluru,co,141,1,40.5,6.6,303.86
21/01/2016,IN,Bengaluru,co,120,0.9,23.2,4.7,152.75
22/01/2016,IN,Bengaluru,co,119,0.6,26.1,5.5,247.62
23/01/2016,IN,Bengaluru,co,126,1,27.5,5.9,187.49
24/01/2016,IN,Bengaluru,co,129,1.1,36.3,7.1,419.71
25/01/2016,IN,Bengaluru,co,133,0.5,53.2,7.8,581.25
26/01/2016,IN,Bengaluru,co,143,0.4,355.8,6.6,9270.77
27/01/2016,IN,Bengaluru,co,136,1.1,23.2,8,186.64
28/01/2016,IN,Bengaluru,co,117,1,27.5,7.6,228.73
29/01/2016,IN,Bengaluru,co,113,0.8,256.1,7.8,49429.6
30/01/2016,IN,Bengaluru,co,123,2.9,251.5,7.6,4977.74
31/01/2016,IN,Bengaluru,co,124,0.2,68.6,8.7,603.04
01/02/2016,IN,Bengaluru,co,111,0.2,275.5,10.3,12886.3
02/02/2016,IN,Bengaluru,co,144,1.5,32.6,8.7,360.18
03/02/2016,IN,Bengaluru,co,140,1.1,270,9.9,5722.4
04/02/2016,IN,Bengaluru,co,142,1.7,38.4,9,460.47
05/02/2016,IN,Bengaluru,co,127,1,28.2,7.4,313.83
06/02/2016,IN,Bengaluru,co,112,2.2,151.2,6.9,3851.16
07/02/2016,IN,Bengaluru,co,97,2.6,44.9,5.8,449.41
08/02/2016,IN,Bengaluru,co,98,2.6,31.1,6.6,218.92
09/02/2016,IN,Bengaluru,co,109,1,73.3,7.3,985.83
10/02/2016,IN,Bengaluru,co,112,3.1,51.2,7.6,656.41
11/02/2016,IN,Bengaluru,co,118,1,36.2,9.1,586.91
12/02/2016,IN,Bengaluru,co,114,0.6,40.5,9.4,562.89
13/02/2016,IN,Bengaluru,co,119,0.4,33.3,9.3,451.83
14/02/2016,IN,Bengaluru,co,106,3.1,24.6,7.7,280.75
15/02/2016,IN,Bengaluru,co,125,0.8,34,7.1,468.63
16/02/2016,IN,Bengaluru,co,144,2.8,29,7.1,389.06
17/02/2016,IN,Bengaluru,co,123,1.5,29,7.5,440.99
18/02/2016,IN,Bengaluru,co,119,1.9,29,7.5,360.88
19/02/2016,IN,Bengaluru,co,127,1.1,409.8,8,25331.2
20/02/2016,IN,Bengaluru,co,134,1.5,34,7.3,338.03
21/02/2016,IN,Bengaluru,co,116,2.2,33.3,9.3,318.94
22/02/2016,IN,Bengaluru,co,143,1,64.9,8,656.72
23/02/2016,IN,Bengaluru,co,123,1.3,32.6,8.4,327.58
24/02/2016,IN,Bengaluru,co,117,0.1,57.7,7.7,789.07
25/02/2016,IN,Bengaluru,co,126,0.5,26.1,6.9,187.49
26/02/2016,IN,Bengaluru,co,141,1,25.3,6.6,148.24
27/02/2016,IN,Bengaluru,co,144,0.4,23.2,5.5,109.71
28/02/2016,IN,Bengaluru,co,144,0.6,16.1,5.5,110.45
29/02/2016,IN,Bengaluru,co,140,1.1,93.7,6,1214.66
01/03/2016,IN,Bengaluru,co,123,2.6,29.7,6.2,126.46
02/03/2016,IN,Bengaluru,co,57,1.5,10.7,5.7,47.26
03/03/2016,IN,Bengaluru,co,63,0.8,26.8,5.3,277.1
04/03/2016,IN,Bengaluru,co,120,2.4,28.2,6.6,181.53
05/03/2016,IN,Bengaluru,co,118,2.4,409.8,8.2,32439.6
06/03/2016,IN,Bengaluru,co,120,2.4,106.6,6.1,1806.65
07/03/2016,IN,Bengaluru,co,118,2.2,13.6,5.7,52.16
08/03/2016,IN,Bengaluru,co,112,1.7,82.4,6.4,601.45
09/03/2016,IN,Bengaluru,co,106,0.4,23.9,6,197.94
10/03/2016,IN,Bengaluru,co,141,1.1,370.7,7.1,25515.1
11/03/2016,IN,Bengaluru,co,68,1.1,29.7,6.6,350.67
12/03/2016,IN,Bengaluru,co,78,2,19.6,4.9,194.72
13/03/2016,IN,Bengaluru,co,71,0.2,38.4,4.9,433.38
14/03/2016,IN,Bengaluru,co,130,0.2,28.2,4.4,325.69
15/03/2016,IN,Bengaluru,co,124,0.2,31.8,4,371.42
16/03/2016,IN,Bengaluru,co,114,0.2,222,7.3,8885.5
17/03/2016,IN,Bengaluru,co,139,0.3,409.8,4.9,23780.7
