Date,Country,City,Specie,count,min,max,median,variance
31/12/2018,IN,Bengaluru,co,205,1,39.5,6.7,443.53
01/01/2019,IN,Bengaluru,co,218,1.2,36,7.7,261.6
02/01/2019,IN,Bengaluru,co,217,0.9,35.9,7,405.96
03/01/2019,IN,Bengaluru,co,217,0.2,33.2,6.7,317.93
04/01/2019,IN,Bengaluru,co,206,0.1,36,7.8,369.57
05/01/2019,IN,Bengaluru,co,196,0.3,37,7.8,270.74
06/01/2019,IN,Bengaluru,co,212,0.7,34.7,6.5,193.89
07/01/2019,IN,Bengaluru,co,202,0.8,58.9,6.6,470.83
08/01/2019,IN,Bengaluru,co,209,1.3,43.2,7.7,357.13
09/01/2019,IN,Bengaluru,co,207,1.9,51.4,7.6,375.59
10/01/2019,IN,Bengaluru,co,178,1.2,22.4,6.8,173.21
11/01/2019,IN,Bengaluru,co,193,0.6,56.7,6.9,456.48
12/01/2019,IN,Bengaluru,co,212,0.5,53.2,7.2,495.82
13/01/2019,IN,Bengaluru,co,202,0.6,60.6,6.1,522.83
14/01/2019,IN,Bengaluru,co,226,0.1,49.8,7,416.84
15/01/2019,IN,Bengaluru,co,221,1.3,34,6.3,216.3
16/01/2019,IN,Bengaluru,co,216,0.5,49.7,6.7,414.83
17/01/2019,IN,Bengaluru,co,211,0.3,60.4,7,733.58
18/01/2019,IN,Bengaluru,co,213,0.5,66.2,7.3,534.39
19/01/2019,IN,Bengaluru,co,217,0.2,42.6,6.6,359.08
20/01/2019,IN,Bengaluru,co,213,0.8,48.3,6,267.88
21/01/2019,IN,Bengaluru,co,204,1,66.3,6.4,565.46
22/01/2019,IN,Bengaluru,co,219,1,54.5,6.7,666.46
23/01/2019,IN,Bengaluru,co,218,0.8,70.7,7.1,818.79
24/01/2019,IN,Bengaluru,co,223,1.3,31.9,6.6,256.33
25/01/2019,IN,Bengaluru,co,215,0.3,27.4,6.4,191.85
26/01/2019,IN,Bengaluru,co,217,0.9,25.5,7,178.43
27/01/2019,IN,Bengaluru,co,233,1.5,27,6.6,129.36
28/01/2019,IN,Bengaluru,co,220,1.6,29.7,6.3,156.24
29/01/2019,IN,Bengaluru,co,200,0.5,26,6.6,211.25
30/01/2019,IN,Bengaluru,co,175,0.5,53.1,6.9,513.8
31/01/2019,IN,Bengaluru,co,213,0.9,86.4,6.3,481.4
01/02/2019,IN,Bengaluru,co,216,0.8,32.2,6.5,212.03
02/02/2019,IN,Bengaluru,co,221,1,27.3,6.7,185.06
03/02/2019,IN,Bengaluru,co,229,0.5,21.7,6.2,114.7
04/02/2019,IN,Bengaluru,co,216,0.4,37.3,6.1,213.3
05/02/2019,IN,Bengaluru,co,213,0.1,49,6.5,377.85
06/02/2019,IN,Bengaluru,co,217,0.5,49,6.3,350.32
07/02/2019,IN,Bengaluru,co,197,0.8,32.2,7.3,279.1
08/02/2019,IN,Bengaluru,co,187,0.5,29.9,6.8,210.21
09/02/2019,IN,Bengaluru,co,172,1,49.8,8.4,621.37
10/02/2019,IN,Bengaluru,co,155,0.9,30.5,6.8,186.68
11/02/2019,IN,Bengaluru,co,154,1.1,19.4,6.2,114.72
12/02/2019,IN,Bengaluru,co,161,1.5,22.4,6,117.79
13/02/2019,IN,Bengaluru,co,150,0.1,47.9,5.7,276.08
14/02/2019,IN,Bengaluru,co,138,1.5,16.8,5.9,82.39
15/02/2019,IN,Bengaluru,co,175,1.6,22.9,6.5,171.61
16/02/2019,IN,Bengaluru,co,180,0.8,49.8,6.6,658.49
17/02/2019,IN,Bengaluru,co,170,0.3,82.3,7.2,671.84
