date,pm25,pm10,o3,no2,so2,co,city
2020-01-01,282,136,2,14,16,15,vapi
2020-01-02,223,139,2,11,23,17,vapi
2020-01-03,230,134,2,17,40,15,vapi
2020-01-04,217,115,2,12,49,15,vapi
2020-01-05,191,161,2,10,35,16,vapi
2020-01-06,230,145,2,8,17,16,vapi
2020-01-07,234,112,2,13,24,16,vapi
2020-01-08,191,97,2,16,37,14,vapi
2020-01-09,170,98,2,16,47,14,vapi
2020-01-10,170,118,2,8,22,14,vapi
2020-01-11,199,112,2,7,16,15,vapi
2020-01-12,198,85,2,5,14,13,vapi
2020-01-13,160,76,2,11,29,12,vapi
2020-01-14,147,77,2,24,31,11,vapi
2020-01-15,158,93,2,11,34,14,vapi
2020-01-16,159,126,2,18,42,17,vapi
2020-01-17,203,122,2,19,35,15,vapi
2020-01-18,207,103,2,21,36,14,vapi
2020-01-19,179,138,2,12,29,16,vapi
2020-01-20,205,124,2,10,15,16,vapi
2020-01-21,210,128,2,14,14,17,vapi
2020-01-22,208,121,2,12,12,15,vapi
2020-01-23,194,125,2,13,14,15,vapi
2020-01-24,197,124,2,15,13,17,vapi
2020-01-25,190,104,2,15,11,15,vapi
2020-01-26,178,108,2,13,11,14,vapi
2020-01-27,174,77,2,7,11,10,vapi
2020-01-28,134,87,2,12,9,11,vapi
2020-01-29,144,191,2,7,13,19,vapi
2020-01-30,257,127,2,12,17,15,vapi
2020-01-31,203,102,2,15,12,14,vapi
2020-02-01,170,139,2,7,13,15,vapi
2020-02-02,194,155,2,16,14,15,vapi
2020-02-03,226,119,2,17,13,16,vapi
2020-02-04,202,122,2,17,14,16,vapi
2020-02-05,196,149,2,18,13,16,vapi
2020-02-06,193,110,2,11,12,14,vapi
2020-02-07,186,123,2,14,15,17,vapi
2020-02-08,206,115,2,12,13,14,vapi
2020-02-09,193,107,2,7,13,16,vapi
2020-02-10,175,109,2,3,13,16,vapi
2020-02-11,178,102,2,3,16,14,vapi
2020-02-12,166,109,2,15,16,16,vapi
2020-02-13,180,112,2,14,15,18,vapi
2020-02-14,186,112,2,14,13,18,vapi
2020-02-15,179,123,2,8,12,18,vapi
2020-02-16,201,122,2,12,12,18,vapi
2020-02-17,238,110,2,15,12,19,vapi
2020-02-18,193,103,2,9,12,17,vapi
2020-02-19,193,88,2,6,13,15,vapi
2020-02-20,105,79,2,2,9,14,vapi
2020-02-21,142,96,2,4,10,18,vapi
2020-02-22,184,108,2,4,11,16,vapi
2020-02-23,178,103,2,1,9,20,vapi
2020-02-24,126,100,2,14,9,20,vapi
2020-02-25,133,109,2,13,12,16,vapi
2020-02-26,135,119,2,10,14,16,vapi
2020-02-27,196,119,2,14,13,18,vapi
2020-02-28,198,108,2,6,12,17,vapi
2020-02-29,181,98,2,9,10,16,vapi
2020-03-01,163,95,2,5,10,15,vapi
2020-03-02,170,81,2,4,10,15,vapi
2020-03-03,154,77,2,4,9,14,vapi
2020-03-04,146,78,2,5,8,13,vapi
2020-03-05,138,78,2,3,9,12,vapi
2020-03-06,129,89,2,11,8,13,vapi
2020-03-07,144,105,2,11,9,15,vapi
2020-03-08,175,99,2,6,9,13,vapi
2020-03-09,172,77,2,3,8,12,vapi
2020-03-10,124,57,2,5,8,11,vapi
2020-03-11,97,61,2,9,7,12,vapi
2020-03-12,99,96,2,12,8,13,vapi
2020-03-13,157,111,2,18,9,14,vapi
2020-03-14,161,94,2,22,11,15,vapi
2020-03-15,144,122,2,19,11,14,vapi
2020-03-16,162,130,2,18,12,16,vapi
2020-03-17,194,128,2,15,13,17,vapi
2020-03-18,205,81,2,9,9,12,vapi
2020-03-19,147,59,2,6,9,10,vapi
2020-03-20,111,63,5,4,8,10,vapi
2020-03-21,115,68,18,4,2,9,vapi
2020-03-22,124,80,24,11,0,9,vapi
2020-03-23,156,78,26,13,0,10,vapi
2020-03-24,153,72,30,0,0,11,vapi
2020-03-25,149,60,20,0,0,12,vapi
2020-03-26,132,48,22,0,0,12,vapi
2020-03-27,88,52,25,0,0,13,vapi
2020-03-28,111,52,30,0,0,13,vapi
2020-03-29,105,51,35,0,0,13,vapi
