,city,date,value
0,panipat,2019-10-01,-5.4670000000000005
1,panipat,2019-10-02,0.7
2,panipat,2019-10-03,3.781
3,panipat,2019-10-04,0.833
4,panipat,2019-10-05,0.026000000000000002
5,panipat,2019-10-06,-4.37
6,panipat,2019-10-07,1.44
7,panipat,2019-10-08,-0.7509999999999999
8,panipat,2019-10-09,-6.282
9,panipat,2019-10-10,-7.652
10,panipat,2019-10-11,-1.5390000000000001
11,panipat,2019-10-12,0.978
12,panipat,2019-10-13,-4.2669999999999995
13,panipat,2019-10-14,-5.419
14,panipat,2019-10-15,0.49200000000000005
15,panipat,2019-10-16,2.055
16,panipat,2019-10-17,4.835
17,panipat,2019-10-18,2.426
18,panipat,2019-10-19,7.192
19,panipat,2019-10-20,-3.0580000000000003
20,panipat,2019-10-21,-0.696
21,panipat,2019-10-22,-4.525
22,panipat,2019-10-23,-0.59
23,panipat,2019-10-24,-0.439
24,panipat,2019-10-25,2.845
25,panipat,2019-10-26,0.28800000000000003
26,panipat,2019-10-27,-2.237
27,panipat,2019-10-28,-2.227
28,panipat,2019-10-29,-0.912
29,panipat,2019-10-30,0.797
30,panipat,2019-10-31,-0.8370000000000001
31,panipat,2019-11-01,-8.619
32,panipat,2019-11-02,-10.522
33,panipat,2019-11-03,-9.531
34,panipat,2019-11-04,-12.482999999999999
35,panipat,2019-11-05,-5.952999999999999
36,panipat,2019-11-06,-3.852
37,panipat,2019-11-07,-3.7969999999999997
38,panipat,2019-11-08,1.383
39,panipat,2019-11-09,5.95
40,panipat,2019-11-10,4.923
41,panipat,2019-11-11,4.031000000000001
42,panipat,2019-11-12,5.997000000000001
43,panipat,2019-11-13,-3.485
44,panipat,2019-11-14,-8.501
45,panipat,2019-11-15,-4.739
46,panipat,2019-11-16,5.29
47,panipat,2019-11-17,-0.9390000000000001
48,panipat,2019-11-18,-2.7430000000000003
49,panipat,2019-11-19,5.641
50,panipat,2019-11-20,3.483
51,panipat,2019-11-21,-2.2769999999999997
52,panipat,2019-11-22,0.068
53,panipat,2019-11-23,1.453
54,panipat,2019-11-24,-7.582000000000001
55,panipat,2019-11-25,-4.081
56,panipat,2019-11-26,-3.852
57,panipat,2019-11-27,-3.3360000000000003
58,panipat,2019-11-28,-8.493
59,panipat,2019-11-29,-11.862
60,panipat,2019-11-30,-18.08
61,panipat,2019-12-01,-14.556
62,panipat,2019-12-02,-3.0639999999999996
63,panipat,2019-12-03,-4.157
64,panipat,2019-12-04,-8.204
65,panipat,2019-12-05,-12.607000000000001
66,panipat,2019-12-06,-9.248
67,panipat,2019-12-07,-5.859
68,panipat,2019-12-08,-5.347
69,panipat,2019-12-09,-3.971
70,panipat,2019-12-10,-4.309
71,panipat,2019-12-11,-10.347999999999999
72,panipat,2019-12-12,-12.379000000000001
73,panipat,2019-12-13,-10.421
74,panipat,2019-12-14,-8.507
75,panipat,2019-12-15,-9.365
76,panipat,2019-12-16,-6.609
77,panipat,2019-12-17,-6.99
78,panipat,2019-12-18,-14.387
79,panipat,2019-12-19,-8.238
80,panipat,2019-12-20,-5.135
81,panipat,2019-12-21,-4.8180000000000005
82,panipat,2019-12-22,-4.695
83,panipat,2019-12-23,-5.882000000000001
84,panipat,2019-12-24,-6.127999999999999
85,panipat,2019-12-25,7.7410000000000005
86,panipat,2019-12-26,3.9619999999999997
87,panipat,2019-12-27,2.7680000000000002
88,panipat,2019-12-28,-3.353
89,panipat,2019-12-29,-9.693999999999999
0,patiala,2019-10-01,-6.52
1,patiala,2019-10-02,-0.87
2,patiala,2019-10-03,3.513
3,patiala,2019-10-04,1.024
4,patiala,2019-10-05,-0.387
5,patiala,2019-10-06,-4.515
6,patiala,2019-10-07,0.634
7,patiala,2019-10-08,-2.326
8,patiala,2019-10-09,-7.513
9,patiala,2019-10-10,-8.054
10,patiala,2019-10-11,-1.8780000000000001
11,patiala,2019-10-12,1.4609999999999999
12,patiala,2019-10-13,-3.975
13,patiala,2019-10-14,-6.069
14,patiala,2019-10-15,-1.051
15,patiala,2019-10-16,1.5
16,patiala,2019-10-17,5.353
17,patiala,2019-10-18,5.1
18,patiala,2019-10-19,7.768
19,patiala,2019-10-20,1.206
20,patiala,2019-10-21,3.141
21,patiala,2019-10-22,-4.915
22,patiala,2019-10-23,-0.265
23,patiala,2019-10-24,-0.188
24,patiala,2019-10-25,2.259
25,patiala,2019-10-26,0.027000000000000003
26,patiala,2019-10-27,-2.719
27,patiala,2019-10-28,-2.445
28,patiala,2019-10-29,-1.2429999999999999
29,patiala,2019-10-30,0.545
30,patiala,2019-10-31,-0.823
31,patiala,2019-11-01,-8.368
32,patiala,2019-11-02,-11.681
33,patiala,2019-11-03,-10.834000000000001
34,patiala,2019-11-04,-12.86
35,patiala,2019-11-05,-7.246
36,patiala,2019-11-06,-4.655
37,patiala,2019-11-07,-4.457
38,patiala,2019-11-08,-0.307
39,patiala,2019-11-09,5.581
40,patiala,2019-11-10,4.9830000000000005
41,patiala,2019-11-11,4.606
42,patiala,2019-11-12,5.944
43,patiala,2019-11-13,-3.83
44,patiala,2019-11-14,-9.55
45,patiala,2019-11-15,-6.574
