,city,date,value
0,panipat,2019-10-01,-5.02
1,panipat,2019-10-02,-5.851
2,panipat,2019-10-03,-1.465
3,panipat,2019-10-04,0.336
4,panipat,2019-10-05,4.794
5,panipat,2019-10-06,6.005
6,panipat,2019-10-07,7.542000000000001
7,panipat,2019-10-08,3.95
8,panipat,2019-10-09,-2.568
9,panipat,2019-10-10,-2.2159999999999997
10,panipat,2019-10-11,-8.845
11,panipat,2019-10-12,-10.219
12,panipat,2019-10-13,-9.427
13,panipat,2019-10-14,-3.522
14,panipat,2019-10-15,3.037
15,panipat,2019-10-16,4.486000000000001
16,panipat,2019-10-17,3.5239999999999996
17,panipat,2019-10-18,-1.992
18,panipat,2019-10-19,-11.331
19,panipat,2019-10-20,-4.269
20,panipat,2019-10-21,-15.714
21,panipat,2019-10-22,-13.732000000000001
22,panipat,2019-10-23,-12.538
23,panipat,2019-10-24,-11.404000000000002
24,panipat,2019-10-25,-6.502000000000001
25,panipat,2019-10-26,-3.812
26,panipat,2019-10-27,-7.016
27,panipat,2019-10-28,-9.338
28,panipat,2019-10-29,-9.532
29,panipat,2019-10-30,-6.3839999999999995
30,panipat,2019-10-31,-4.072
31,panipat,2019-11-01,3.622
32,panipat,2019-11-02,-1.026
33,panipat,2019-11-03,-4.36
34,panipat,2019-11-04,-7.7620000000000005
35,panipat,2019-11-05,-6.388999999999999
36,panipat,2019-11-06,-2.445
37,panipat,2019-11-07,-1.235
38,panipat,2019-11-08,4.1610000000000005
39,panipat,2019-11-09,10.104
40,panipat,2019-11-10,-3.529
41,panipat,2019-11-11,2.387
42,panipat,2019-11-12,5.351
43,panipat,2019-11-13,5.518
44,panipat,2019-11-14,2.267
45,panipat,2019-11-15,-1.276
46,panipat,2019-11-16,3.787
47,panipat,2019-11-17,5.0489999999999995
48,panipat,2019-11-18,8.533
49,panipat,2019-11-19,3.005
50,panipat,2019-11-20,2.512
51,panipat,2019-11-21,-0.192
52,panipat,2019-11-22,-1.121
53,panipat,2019-11-23,-0.7240000000000001
54,panipat,2019-11-24,-0.496
55,panipat,2019-11-25,-3.287
56,panipat,2019-11-26,-7.937
57,panipat,2019-11-27,-5.375
58,panipat,2019-11-28,-3.512
59,panipat,2019-11-29,6.81
60,panipat,2019-11-30,-5.039
61,panipat,2019-12-01,-5.4510000000000005
62,panipat,2019-12-02,-0.19699999999999998
63,panipat,2019-12-03,-1.574
64,panipat,2019-12-04,5.982
65,panipat,2019-12-05,7.457999999999999
66,panipat,2019-12-06,-2.9539999999999997
67,panipat,2019-12-07,-8.017999999999999
68,panipat,2019-12-08,-7.5760000000000005
69,panipat,2019-12-09,-6.692
70,panipat,2019-12-10,-5.899
71,panipat,2019-12-11,2.7560000000000002
72,panipat,2019-12-12,4.041
73,panipat,2019-12-13,0.626
74,panipat,2019-12-14,-0.41100000000000003
75,panipat,2019-12-15,-2.065
76,panipat,2019-12-16,-5.569
77,panipat,2019-12-17,-9.213
78,panipat,2019-12-18,-5.07
79,panipat,2019-12-19,-8.03
80,panipat,2019-12-20,-4.801
81,panipat,2019-12-21,-5.284
82,panipat,2019-12-22,-3.612
83,panipat,2019-12-23,5.817
84,panipat,2019-12-24,10.402000000000001
85,panipat,2019-12-25,-5.865
86,panipat,2019-12-26,-8.754
87,panipat,2019-12-27,4.513
88,panipat,2019-12-28,-0.049
89,panipat,2019-12-29,-8.696
0,patiala,2019-10-01,-5.042
1,patiala,2019-10-02,-6.667999999999999
2,patiala,2019-10-03,-3.0610000000000004
3,patiala,2019-10-04,-0.278
4,patiala,2019-10-05,3.5460000000000003
5,patiala,2019-10-06,5.836
6,patiala,2019-10-07,6.452000000000001
7,patiala,2019-10-08,2.635
8,patiala,2019-10-09,-2.755
9,patiala,2019-10-10,-1.689
10,patiala,2019-10-11,-9.371
11,patiala,2019-10-12,-9.783999999999999
12,patiala,2019-10-13,-9.067
13,patiala,2019-10-14,-3.0410000000000004
14,patiala,2019-10-15,2.89
15,patiala,2019-10-16,3.946
16,patiala,2019-10-17,3.875
17,patiala,2019-10-18,-0.996
18,patiala,2019-10-19,-11.511
19,patiala,2019-10-20,-0.7979999999999999
20,patiala,2019-10-21,-14.414000000000001
21,patiala,2019-10-22,-13.41
22,patiala,2019-10-23,-12.253
23,patiala,2019-10-24,-11.296
24,patiala,2019-10-25,-7.19
25,patiala,2019-10-26,-4.349
26,patiala,2019-10-27,-6.567
27,patiala,2019-10-28,-9.443999999999999
28,patiala,2019-10-29,-9.363999999999999
29,patiala,2019-10-30,-7.004
30,patiala,2019-10-31,-3.568
31,patiala,2019-11-01,4.641
32,patiala,2019-11-02,-0.52
33,patiala,2019-11-03,-5.152
34,patiala,2019-11-04,-7.178
35,patiala,2019-11-05,-6.749
36,patiala,2019-11-06,-2.8810000000000002
